fdcId,foodDescription,nutrient.id,nutrient.number,nutrient.name,nutrient.rank,nutrient.unitName,amount,dataPoints,min,median,max,foodNutrientDerivation.code,foodNutrientDerivation.description,foodNutrientDerivation.foodNutrientSource.id,foodNutrientDerivation.foodNutrientSource.code,foodNutrientDerivation.foodNutrientSource.description
321358,"Hummus, commercial",1120,334,"Cryptoxanthin, beta",7460,µg,3.0,1.0,,3.0,,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1122,337,Lycopene,7530,µg,0.0,1.0,,0.0,,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1127,343,"Tocopherol, delta",8200,mg,1.3,6.0,0.26,1.21,2.47,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1130,346,"Tocotrienol, gamma",8500,mg,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1131,347,"Tocotrienol, delta",8600,mg,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1162,401,"Vitamin C, total ascorbic acid",6300,mg,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1165,404,Thiamin,6400,mg,0.15,6.0,0.12,0.16,0.17,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1166,405,Riboflavin,6500,mg,0.115,6.0,0.08,0.12,0.14,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1177,417,"Folate, total",6900,µg,36.0,6.0,13.0,41.0,53.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1184,429,Vitamin K (Dihydrophylloquinone),8900,µg,0.0,2.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1185,430,Vitamin K (phylloquinone),8800,µg,17.2,2.0,11.2,17.2,23.3,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1257,605,"Fatty acids, total trans",15400,g,0.018,,,,,AS,Summed,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1258,606,"Fatty acids, total saturated",9700,g,2.22,,,,,AS,Summed,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1261,609,SFA 8:0,10000,g,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1263,611,SFA 12:0,10300,g,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1264,612,SFA 14:0,10500,g,0.009,6.0,0.008,0.008,0.01,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1272,621,PUFA 22:6 n-3 (DHA),15300,g,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1273,624,SFA 22:0,11200,g,0.044,6.0,0.031,0.042,0.062,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1278,629,PUFA 20:5 n-3 (EPA),15000,g,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1280,631,PUFA 22:5 n-3 (DPA),15200,g,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1300,653,SFA 17:0,10800,g,0.01,6.0,0.006,0.011,0.014,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1301,654,SFA 24:0,11300,g,0.027,6.0,0.019,0.025,0.044,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1303,662,TFA 16:1 t,15520,g,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1312,671,MUFA 24:1 c,12800,g,0.005,6.0,0.0,0.004,0.011,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1315,674,MUFA 18:1 c,12200,g,6.25,6.0,4.87,5.98,8.73,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1316,675,"PUFA 18:2 n-6 c,c",13200,g,6.81,6.0,4.78,7.03,8.56,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1317,676,MUFA 22:1 c,12600,g,0.001,,,,,AS,Summed,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1323,687,MUFA 17:1,12000,g,0.007,6.0,0.005,0.008,0.01,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1329,693,"Fatty acids, total trans-monoenoic",15500,g,0.006,,,,,AS,Summed,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1333,697,MUFA 15:1,11600,g,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1404,851,"PUFA 18:3 n-3 c,c,c (ALA)",14000,g,0.637,6.0,0.411,0.668,0.742,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1405,852,PUFA 20:3 n-3,14500,g,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1411,858,PUFA 22:4,15160,g,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1003,203,Protein,600,g,7.35,,6.2,7.79,8.05,NC,Calculated,2.0,4,Calculated or imputed
321358,"Hummus, commercial",1007,207,Ash,1000,g,1.97,11.0,1.73,1.99,2.12,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1009,209,Starch,2200,g,8.12,6.0,7.7,8.0,8.8,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1012,212,Fructose,1800,g,0.15,2.0,0.0,0.15,0.3,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1013,213,Lactose,1900,g,0.0,2.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1062,268,Energy,400,kJ,960.0,,,,,NC,Calculated,2.0,4,Calculated or imputed
321358,"Hummus, commercial",1075,287,Galactose,2100,g,0.0,2.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1079,291,"Fiber, total dietary",1200,g,5.4,6.0,4.9,5.5,5.7,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1089,303,"Iron, Fe",5400,mg,2.41,11.0,1.87,2.33,2.96,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1090,304,"Magnesium, Mg",5500,mg,71.1,11.0,56.6,70.4,82.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1091,305,"Phosphorus, P",5600,mg,166.0,11.0,134.0,179.0,190.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1093,307,"Sodium, Na",5800,mg,438.0,11.0,387.0,444.0,489.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1098,312,"Copper, Cu",6000,mg,0.348,11.0,0.27,0.376,0.396,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1101,315,"Manganese, Mn",6100,mg,1.06,11.0,0.785,1.15,1.21,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1106,320,"Vitamin A, RAE",7420,µg,1.0,,,,,NC,Calculated,2.0,4,Calculated or imputed
321358,"Hummus, commercial",1107,321,"Carotene, beta",7440,µg,12.0,1.0,,12.0,,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1108,322,"Carotene, alpha",7450,µg,0.0,1.0,,0.0,,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1271,620,PUFA 20:4,14700,g,0.005,6.0,0.003,0.006,0.006,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1276,627,PUFA 18:4,14250,g,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1292,645,"Fatty acids, total monounsaturated",11400,g,6.37,,,,,AS,Summed,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1293,646,"Fatty acids, total polyunsaturated",12900,g,7.48,,,,,AS,Summed,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1299,652,SFA 15:0,10600,g,0.004,6.0,0.003,0.004,0.004,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1304,663,TFA 18:1 t,15521,g,0.006,6.0,0.004,0.006,0.009,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1305,664,TFA 22:1 t,15550,g,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1306,665,TFA 18:2 t not further defined,15610,g,0.012,6.0,0.008,0.012,0.017,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1311,670,PUFA 18:2 CLAs,13300,g,0.002,6.0,0.0,0.003,0.003,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1313,672,"PUFA 20:2 n-6 c,c",14300,g,0.005,6.0,0.003,0.005,0.006,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1314,673,MUFA 16:1 c,11800,g,0.021,6.0,0.015,0.02,0.027,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1321,685,"PUFA 18:3 n-6 c,c,c",14100,g,0.02,6.0,0.011,0.018,0.029,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1331,695,"Fatty acids, total trans-polyenoic",15619,g,0.0,,,,,AS,Summed,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1406,853,PUFA 20:3 n-6,14600,g,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1259,607,SFA 4:0,9800,g,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1260,608,SFA 6:0,9900,g,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1262,610,SFA 10:0,10100,g,0.0,6.0,0.0,0.0,0.0,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1265,613,SFA 16:0,10700,g,1.41,6.0,1.05,1.43,1.76,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1266,614,SFA 18:0,10900,g,0.634,6.0,0.478,0.654,0.771,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1267,615,SFA 20:0,11100,g,0.079,6.0,0.072,0.08,0.083,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1123,338,Lutein + zeaxanthin,7560,µg,258.0,1.0,,258.0,,A,Analytical,1.0,1,Analytical or derived from analytical
321358,"Hummus, commercial",1125,341,"Tocopherol, beta",8000,mg,0.31,6.0,0.22,0.34,0.36,A,Analytical,1.0,1,Analytical or derived from analytical
